PesticideCode,CommCode,EPA_TV,conc_units
001,BB,0.05,M
001,BU,0.3,M
001,BZ,0.05,M
001,CE,0.03,M
001,CO,0.02,M
001,CR,0.1,M
001,GB,0.05,M
001,GR,0.05,M
001,HZ,0.02,M
001,IG,0.05,M
001,IH,0.02,M
001,IP,0.03,M
001,IS,0.1,M
001,MU,NT,M
001,PB,0.05,M
001,PC,0.02,M
001,PE,0.03,M
001,PO,0.1,M
001,PU,0.3,M
001,SS,0.1,M
001,SY,0.05,M
001,TO,0.05,M
001,WM,0.1,M
002,CE,NT,M
002,CR,NT,M
002,HZ,NT,M
002,PC,NT,M
002,PO,NT,M
002,TO,NT,M
007,CR,NT,M
007,PO,NT,M
007,TO,NT,M
011,CE,0.05,M
011,CR,0.05,M
011,HZ,15.0,M
011,PC,15.0,M
011,PO,0.05,M
011,SY,0.05,M
011,TO,0.05,M
015,GB,NT,M
015,IG,NT,M
015,IH,NT,M
015,PB,NT,M
015,SS,NT,M
020,GB,EX,M
020,IG,EX,M
020,IH,EX,M
020,PB,EX,M
020,SS,EX,M
024,BB,0.50,M
024,BU,NT,M
024,BZ,0.50,M
024,CE,0.70,M
024,CR,0.75,M
024,GB,0.50,M
024,GR,0.75,M
024,HZ,0.20,M
024,IG,0.50,M
024,IH,0.20,M
024,IP,0.50,M
024,IS,0.10,M
024,MU,0.75,M
024,PB,NT,M
024,PC,0.20,M
024,PE,0.50,M
024,PO,0.10,M
024,PU,0.20,M
024,SS,0.50,M
024,TO,0.75,M
024,WM,0.75,M
028,BB,0.05,M
028,BU,0.3,M
028,BZ,0.05,M
028,CE,0.03,M
028,CO,0.02,M
028,CR,0.1,M
028,GB,0.05,M
028,GR,0.05,M
028,HZ,0.02,M
028,IG,0.05,M
028,IH,0.02,M
028,IP,0.03,M
028,IS,0.1,M
028,MU,NT,M
028,PB,0.05,M
028,PC,0.02,M
028,PE,0.03,M
028,PO,0.1,M
028,PU,0.3,M
028,SS,0.1,M
028,SY,0.05,M
028,TO,0.05,M
032,BB,0.1,M
032,BU,NT,M
032,BZ,0.1,M
032,CO,0.1,M
032,CR,NT,M
032,GB,NT,M
032,GR,0.05,M
032,IG,NT,M
032,IH,0.1,M
032,IP,1,M
032,IS,NT,M
032,MU,NT,M
032,PB,NT,M
032,PE,1,M
032,PO,NT,M
032,PU,NT,M
032,SS,NT,M
032,TO,NT,M
032,WM,NT,M
034,BB,NT,M
034,BU,NT,M
034,BZ,NT,M
034,CE,NT,M
034,CR,NT,M
034,GB,NT,M
034,HZ,NT,M
034,IG,NT,M
034,IH,NT,M
034,IP,NT,M
034,IS,NT,M
034,MU,NT,M
034,PB,NT,M
034,PC,NT,M
034,PO,NT,M
034,PU,NT,M
034,SS,NT,M
034,SY,NT,M
034,TO,NT,M
034,WM,NT,M
035,CR,NT,M
035,GB,NT,M
035,IG,NT,M
035,IH,NT,M
035,PB,NT,M
035,PO,NT,M
035,SS,NT,M
035,TO,NT,M
042,BB,NT,M
042,BU,NT,M
042,BZ,NT,M
042,CE,NT,M
042,CO,NT,M
042,CR,NT,M
042,GB,NT,M
042,GR,NT,M
042,HZ,NT,M
042,IG,NT,M
042,IH,NT,M
042,IP,NT,M
042,IS,NT,M
042,MU,NT,M
042,PB,NT,M
042,PC,NT,M
042,PE,NT,M
042,PO,NT,M
042,PU,NT,M
042,SS,NT,M
042,SY,NT,M
042,TO,NT,M
042,WM,NT,M
044,BB,0.05,M
044,BU,NT,M
044,BZ,0.05,M
044,CE,0.05,M
044,CR,NT,M
044,GB,NT,M
044,GR,0.05,M
044,HZ,0.05,M
044,IG,NT,M
044,IH,0.05,M
044,IP,0.05,M
044,IS,NT,M
044,MU,NT,M
044,PB,NT,M
044,PC,0.05,M
044,PE,0.05,M
044,PO,NT,M
044,PU,0.05,M
044,SS,0.05,M
044,TO,NT,M
044,WM,0.05,M
046,GB,NT,M
046,IG,NT,M
046,IH,NT,M
046,PB,NT,M
046,SS,NT,M
047,GR,5.0,M
047,PE,10.0,M
050,BB,0.5,M
050,BU,0.3,M
050,BZ,0.5,M
050,CE,NT,M
050,CO,0.1,M
050,CR,0.5,M
050,GB,0.5,M
050,HZ,NT,M
050,IG,0.5,M
050,IH,NT,M
050,IP,NT,M
050,IS,0.5,M
050,MU,NT,M
050,PB,NT,M
050,PC,NT,M
050,PO,0.5,M
050,PU,NT,M
050,SS,NT,M
050,SY,NT,M
050,TO,NT,M
050,WM,NT,M
052,BB,8,M
052,BU,0.5,M
052,BZ,8,M
052,CE,8,M
052,CO,8,M
052,CR,8,M
052,GB,8,M
052,GR,8,M
052,HZ,8,M
052,IG,8,M
052,IH,8,M
052,IP,8,M
052,IS,1,M
052,MU,8,M
052,PB,8,M
052,PC,8,M
052,PE,8,M
052,PO,8,M
052,PU,8,M
052,SS,8,M
052,SY,8,M
052,TO,8,M
052,WM,8,M
055,CR,NT,M
055,GB,NT,M
055,IG,NT,M
055,IH,NT,M
055,IP,NT,M
055,MU,NT,M
055,PB,NT,M
055,PO,NT,M
055,SS,NT,M
055,TO,NT,M
057,BB,NT,M
057,BU,NT,M
057,BZ,NT,M
057,CE,NT,M
057,CO,NT,M
057,CR,NT,M
057,GB,NT,M
057,HZ,NT,M
057,IG,NT,M
057,IH,NT,M
057,IP,NT,M
057,IS,NT,M
057,MU,NT,M
057,PB,NT,M
057,PC,NT,M
057,PO,NT,M
057,PU,NT,M
057,SS,NT,M
057,SY,NT,M
057,TO,NT,M
057,WM,NT,M
058,BB,5,M
058,BU,5,M
058,BZ,5,M
058,CE,5,M
058,CO,NT,M
