Sample_pk,State,Year,Month,Day,Site,Commo_code,Source_ID,Variety,Origin,Country_Code,Distrib_Type,Commo_Type,Claim,Quantity,Growst_Stcode,Packer_Stcode,Distrib_Stcode
1,CA,22,1,10,4,BB,B,N/A,2,720,R,FR,NC,,,,CA
2,CA,22,1,10,513,BB, ,N/A,2,720,R,FR,PO,,,,CA
3,CA,22,1,10,532,BB, ,wre,2,720,R,FR,NC,,,,CA
4,CA,22,1,10,545,BB, ,Na,2,275,R,FR,NC,,,,CA
5,CA,22,1,10,546,BB, ,Blueberries,2,275,R,FR,PO,,,,CA
6,CA,22,1,10,552,BB, ,Blueberries,2,720,R,FR,NC,,,,CA
7,CA,22,1,10,554,BB, ,Blueberries,2,275,R,FR,NC,,,,CA
8,CA,22,1,10,614,BB, ,Blueberries,2,595,D,FR,NC,,,,
9,CA,22,1,10,616,BB, ,Blueberries,2,720,D,FR,NC,,,,CA
10,CA,22,1,10,642,BB, ,Blueberries,1,,R,FR,NC,,,,CA
11,CA,22,2,14,1,BB,P,Unknown,2,595,R,FR,NC,,,,CA
12,CA,22,2,14,151,BB, ,N/A,2,595,D,FR,NC,,,,
13,CA,22,2,14,273,BB, ,Na,2,275,D,FR,NC,,,,CA
14,CA,22,2,14,406,BB, ,Na,2,275,D,FR,NC,,,,CA
15,CA,22,2,14,450,BB, ,Na,2,275,R,FR,NC,,,,FL
16,CA,22,2,14,484,BB, ,Na,2,275,R,FR,PO,,,,CA
17,CA,22,2,14,547,BB, ,Na,2,275,R,FR,NC,,,,CA
18,CA,22,2,14,561,BB, ,None,2,275,D,FR,NC,,,,CA
19,CA,22,2,14,564,BB, ,Na,2,275,D,FR,NC,,,,CA
20,CA,22,2,14,625,BB, ,N/A,2,595,D,FR,NC,,,,FL
21,CA,22,2,14,665,BB, ,Na,2,720,D,FR,NC,,,,CA
22,CA,22,2,14,673,BB, ,Biloxi,2,595,R,FR,NC,,,,CA
23,CA,22,3,14,1,BB,P,Unknown,2,275,R,FR,NC,,,,CA
24,CA,22,3,14,409,BB,A,Na,2,595,R,FR,NC,,,,
25,CA,22,3,14,486,BB,A,N/A,2,595,R,FR,NC,,,,CA
26,CA,22,3,14,486,BB,B,N/A,2,595,R,FR,NC,,,,
27,CA,22,3,14,496,BB, ,N/A,2,275,R,FR,PO,,,,CA
28,CA,22,3,14,542,BB,P,Na,2,595,R,FR,NC,,,,
29,CA,22,3,14,566,BB,P,Na,2,275,R,FR,NC,,,,CA
30,CA,22,3,14,617,BB, ,Na,2,275,H,FR,NC,,,,
31,CA,22,3,14,621,BB,P,Na,2,275,R,FR,PO,,,,CA
32,CA,22,3,14,627,BB, ,Unknown,2,595,R,FR,NC,,,,FL
33,CA,22,3,14,645,BB, ,Na,2,275,R,FR,NC,,,,CA
34,CA,22,3,14,646,BB, ,Na,2,595,R,FR,NC,,,,
35,CA,22,4,11,151,BB, ,N/A,1,,D,FR,PO,,,,CA
36,CA,22,4,11,273,BB,P,N/A,1,,R,FR,NC,,,,CA
37,CA,22,4,11,484,BB, ,Na,2,595,R,FR,NC,,,,
38,CA,22,4,11,515,BB, ,N/A,2,595,R,FR,NC,,,,CA
39,CA,22,4,11,545,BB, ,N/A,2,595,R,FR,NC,,,,CA
40,CA,22,4,11,547,BB, ,Na,2,595,R,FR,NC,,,CA,CA
41,CA,22,4,11,607,BB,P,"Jumbo, Blue Bell",2,595,R,FR,NC,,,,CA
42,CA,22,4,11,613,BB,P,N/A,2,595,R,FR,NC,,,,OR
43,CA,22,4,11,629,BB, ,N/A,2,595,D,FR,NC,,,,
44,CA,22,4,11,645,BB, ,N/A,2,595,R,FR,NC,,,,
45,CA,22,4,11,660,BB,P,N/A,2,595,R,FR,NC,,,,CA
46,CA,22,4,11,675,BB, ,N/A,2,595,H,FR,NC,,,,OR
47,CA,22,5,9,4,BB,P,Unknown; P90-Sample held 161 Days.,2,595,R,FR,NC,,,,CA
48,CA,22,5,9,406,BB, ,Na; P90-Sample held 161 Days.,1,,D,FR,NC,,,,CA
49,CA,22,5,9,484,BB,A,Na; P90-Sample held 161 Days.,1,,R,FR,PO,,CA,CA,CA
50,CA,22,5,9,484,BB,B,Na; P90-Sample held 161 Days.,2,595,R,FR,NC,,,CA,CA
51,CA,22,5,9,547,BB, ,Na; P90-Sample held 161 Days.,1,,R,FR,NC,,,CA,CA
52,CA,22,5,9,554,BB, ,Unknown; P90-Sample held 161 Days.,2,595,R,FR,NC,,,,CA
53,CA,22,5,9,564,BB, ,Na; P90-Sample held 161 Days.,2,595,D,FR,NC,,,,
54,CA,22,5,9,605,BB, ,N/A; P90-Sample held 161 Days.,2,595,H,FR,NC,,,,
55,CA,22,5,9,606,BB, ,N/A; P90-Sample held 161 Days.,2,595,H,FR,NC,,,,
56,CA,22,5,9,620,BB, ,Na; P90-Sample held 161 Days.,2,595,R,FR,NC,,,,
